Year,Month,Smoothed_SSN
1768,4,102.24125874125873
1768,5,106.7531468531468
1768,6,111.0608391608391
1768,7,114.89720279720274
1768,8,118.24755244755237
1768,9,121.32587412587407
1768,10,124.30909090909084
1768,11,127.78461538461535
1768,12,132.50349650349645
1769,1,138.72097902097894
1769,2,145.6811188811188
1769,3,152.97832167832163
1769,4,160.93286713286707
1769,5,169.21958041958032
1769,6,176.67622377622362
1769,7,182.31608391608373
1769,8,186.04755244755222
1769,9,188.29930069930043
1769,10,189.44895104895073
1769,11,189.51538461538422
1769,12,188.49440559440518
1770,1,186.50629370629326
1770,2,183.7552447552443
1770,3,180.49510489510436
1770,4,176.46223776223724
1770,5,170.76643356643305
1770,6,164.08181818181774
1770,7,158.35944055944012
1770,8,154.39160839160797
1770,9,151.85034965034924
1770,10,150.14685314685275
1770,11,148.93356643356606
1770,12,148.09580419580385
1771,1,147.4321678321675
1771,2,146.66503496503466
1771,3,145.63076923076895
1771,4,143.99510489510462
1771,5,142.7069930069927
1771,6,142.87482517482485
1771,7,143.80839160839125
1771,8,144.5454545454542
1771,9,144.5664335664332
1771,10,143.6685314685311
1771,11,141.88391608391572
1771,12,138.89860139860107
1772,1,134.463636363636
1772,2,129.54825174825132
1772,3,124.64195804195761
1772,4,119.92867132867089
1772,5,116.0132867132863
1772,6,112.13776223776186
1772,7,107.60349650349613
1772,8,103.03286713286676
1772,9,98.76923076923039
1772,10,94.58741258741222
1772,11,90.39580419580383
1772,12,86.14825174825138
1773,1,81.77692307692274
1773,2,77.04055944055914
1773,3,71.89020979020951
1773,4,67.33146853146827
1773,5,63.67762237762216
1773,6,61.0951048951047
1773,7,60.10419580419563
1773,8,60.239860139859985
1773,9,61.06363636363622
1773,10,62.39720279720266
1773,11,63.70209790209777
1773,12,64.54195804195791
1774,1,64.71328671328655
1774,2,63.98251748251729
1774,3,62.39999999999978
1774,4,59.78321678321654
1774,5,56.12517482517456
1774,6,51.567832167831895
1774,7,46.21048951048924
1774,8,40.27342657342632
1774,9,34.186013986013734
1774,10,28.4265734265732
1774,11,23.320979020978815
1774,12,19.21118881118863
1775,1,16.143356643356494
1775,2,14.106993006992896
1775,3,13.004895104895022
1775,4,12.528671328671269
1775,5,12.590209790209753
1775,6,12.932867132867111
1775,7,13.437062937062922
1775,8,14.044755244755235
1775,9,14.738461538461536
1775,10,15.581118881118888
1775,11,16.50279720279722
1775,12,17.502797202797225
1776,1,18.59930069930073
1776,2,20.065034965035004
1776,3,22.06153846153851
1776,4,24.22517482517489
1776,5,26.595804195804273
1776,6,29.695804195804303
1776,7,33.57692307692321
1776,8,38.23216783216799
1776,9,43.88811188811208
1776,10,50.86153846153867
1776,11,59.13776223776248
1776,12,68.5363636363639
1777,1,79.07482517482546
1777,2,91.10419580419611
1777,3,104.36293706293736
1777,4,118.34685314685343
1777,5,132.36083916083945
1777,6,146.27762237762266
1777,7,160.58811188811214
1777,8,175.25244755244776
1777,9,189.7629370629372
1777,10,203.50349650349662
1777,11,216.2706293706294
1777,12,228.16503496503492
1778,1,239.0475524475523
1778,2,247.81608391608373
1778,3,253.986713286713
1778,4,257.89860139860104
1778,5,259.768531468531
1778,6,260.25314685314635
1778,7,259.3797202797197
1778,8,256.94125874125814
1778,9,253.36503496503434
1778,10,248.95734265734202
1778,11,244.30559440559375
1778,12,239.53216783216723
1779,1,234.37902097902034
1779,2,228.66853146853083
1779,3,222.86293706293642
1779,4,217.64965034964973
1779,5,213.18601398601336
1779,6,208.76293706293646
1779,7,203.79860139860077
1779,8,198.72587412587353
1779,9,193.63636363636306
1779,10,188.44685314685256
1779,11,183.23426573426516
1779,12,177.97132867132808
1780,1,172.49020979020924
1780,2,167.1335664335659
1780,3,162.11118881118827
1780,4,157.43426573426524
1780,5,152.89580419580372
1780,6,148.30979020978975
1780,7,144.2237762237758
1780,8,140.77552447552407
1780,9,137.99370629370588
1780,10,136.14965034964996
1780,11,134.49020979020943
1780,12,132.39230769230733
1781,1,129.84825174825139
1781,2,127.2832167832164
1781,3,124.75524475524438
1781,4,121.65174825174786
1781,5,117.98041958041921
1781,6,114.03076923076884
1781,7,109.94405594405555
1781,8,105.5958041958038
1781,9,100.96293706293669
1781,10,95.95664335664299
1781,11,90.57482517482482
1781,12,85.31118881118846
1782,1,80.61118881118847
1782,2,76.27832167832138
1782,3,72.18251748251718
1782,4,68.7734265734263
1782,5,66.39160839160814
1782,6,64.69370629370606
1782,7,62.956643356643134
1782,8,61.068531468531255
1782,9,59.14615384615364
1782,10,57.134965034964836
1782,11,55.19090909090889
1782,12,53.1923076923075
1783,1,51.032167832167644
1783,2,48.78461538461519
1783,3,46.44125874125855
1783,4,44.08251748251729
1783,5,41.726573426573246
1783,6,39.20629370629353
1783,7,36.515384615384434
1783,8,33.83986013985996
1783,9,31.07832167832151
1783,10,28.18671328671313
1783,11,25.35594405594391
1783,12,22.753146853146724
1784,1,20.562937062936957
1784,2,18.8999999999999
1784,3,17.629370629370545
1784,4,16.670629370629296
1784,5,16.011188811188752
1784,6,15.630069930069888
1784,7,15.531468531468507
1784,8,15.74825174825174
1784,9,16.309090909090916
1784,10,17.085314685314703
1784,11,18.264335664335693
1784,12,20.144055944055985
1785,1,22.644755244755295
1785,2,25.48741258741265
1785,3,28.58111888111895
1785,4,31.76503496503505
1785,5,34.983916083916185
1785,6,38.7818181818183
1785,7,43.38881118881131
1785,8,48.60979020979033
1785,9,54.28111888111903
1785,10,60.45664335664351
1785,11,67.46783216783233
1785,12,75.24965034965051
1786,1,83.45804195804214
1786,2,92.24335664335683
1786,3,101.89300699300719
1786,4,112.02657342657359
1786,5,122.38111888111901
1786,6,132.95874125874136
1786,7,143.21328671328678
1786,8,152.48671328671335
1786,9,160.75944055944058
1786,10,168.2356643356643
1786,11,175.0468531468531
1786,12,181.04265734265726
1787,1,186.68391608391596
1787,2,192.6251748251747
1787,3,198.50139860139842
1787,4,204.34055944055928
1787,5,210.2811188811187
1787,6,215.38321678321654
1787,7,219.41958041958017
1787,8,222.89020979020947
1787,9,225.96503496503465
1787,10,228.62307692307658
1787,11,230.9174825174821
1787,12,232.63146853146807
1788,1,233.54615384615337
1788,2,233.28601398601347
1788,3,231.7139860139855
1788,4,229.47342657342605
1788,5,226.56293706293653
1788,6,222.95034965034912
1788,7,219.49650349650298
1788,8,216.73496503496452
1788,9,214.53846153846098
1788,10,212.84195804195747
1788,11,211.0559440559435
1788,12,208.7783216783212
1789,1,206.26223776223725
1789,2,203.53496503496456
1789,3,200.95524475524428
1789,4,198.6713286713282
1789,5,196.74405594405548
1789,6,195.47902097902053
1789,7,194.64125874125827
1789,8,193.61118881118833
1789,9,192.0720279720275
1789,10,189.70839160839114
1789,11,186.23846153846108
1789,12,182.32867132867085
1790,1,178.28321678321623
1790,2,173.9279720279715
1790,3,169.31608391608336
1790,4,164.27972027971975
1790,5,158.89999999999952
1790,6,153.4307692307687
1790,7,147.9342657342652
1790,8,142.5741258741254
1790,9,137.59160839160796
1790,10,133.02587412587368
1790,11,129.23916083916043
1790,12,126.1944055944052
1791,1,123.43426573426535
1791,2,120.90349650349616
1791,3,118.44615384615349
1791,4,115.94755244755214
1791,5,113.72517482517452
1791,6,111.86503496503467
1791,7,110.32097902097874
1791,8,109.09999999999972
1791,9,108.00279720279696
1791,10,107.02377622377595
1791,11,106.20769230769207
1791,12,105.46503496503472
1792,1,104.7335664335662
1792,2,103.93286713286689
1792,3,103.17622377622354
1792,4,102.52307692307667
1792,5,101.88461538461515
1792,6,101.10419580419557
1792,7,100.06363636363615
1792,8,98.79160839160815
1792,9,97.57552447552422
1792,10,96.29020979020952
1792,11,94.64965034965009
1792,12,92.72587412587386
1793,1,90.51818181818156
1793,2,88.17412587412561
1793,3,85.88321678321653
1793,4,83.73916083916058
1793,5,81.48811188811166
1793,6,79.07062937062913
1793,7,76.79790209790187
1793,8,74.82727272727251
1793,9,73.25524475524456
1793,10,71.8895104895103
1793,11,70.43286713286693
1793,12,68.97832167832149
1794,1,67.99230769230752
1794,2,67.4615384615383
1794,3,67.2685314685313
1794,4,67.20979020979004
1794,5,66.92447552447535
1794,6,66.42587412587395
1794,7,65.6860139860138
1794,8,64.37552447552429
1794,9,62.464335664335465
1794,10,60.10629370629351
1794,11,57.45244755244736
1794,12,54.82657342657322
1795,1,52.23846153846132
1795,2,49.48461538461518
1795,3,46.67482517482499
1795,4,43.804895104894925
1795,5,41.18811188811173
1795,6,39.12727272727258
1795,7,37.30419580419567
1795,8,35.75454545454533
1795,9,34.515384615384484
1795,10,33.68391608391596
1795,11,33.56223776223766
1795,12,33.67412587412578
1796,1,33.41118881118872
1796,2,32.860839160839056
1796,3,32.02237762237752
1796,4,30.83986013986003
1796,5,29.534265734265613
1796,6,27.883916083915963
1796,7,25.879020979020858
1796,8,23.83006993006981
1796,9,21.70209790209779
1796,10,19.604895104894993
1796,11,17.72937062937053
1796,12,16.01188811188802
1797,1,14.54475524475516
1797,2,13.397202797202722
1797,3,12.402797202797137
1797,4,11.61538461538456
1797,5,11.042657342657298
1797,6,10.530769230769184
1797,7,10.188811188811144
1797,8,9.825874125874085
1797,9,9.386713286713245
1797,10,8.969930069930033
1797,11,8.409090909090871
1797,12,7.746853146853113
1798,1,7.158741258741231
1798,2,6.578321678321656
1798,3,5.9671328671328485
1798,4,5.63286713286712
1798,5,5.693706293706289
1798,6,6.073426573426577
1798,7,6.716083916083926
1798,8,7.624475524475536
1798,9,8.72797202797204
1798,10,9.836363636363643
1798,11,10.841258741258745
1798,12,11.680419580419578
1799,1,12.280419580419574
1799,2,12.58321678321677
1799,3,12.682517482517465
1799,4,12.648951048951023
1799,5,12.425874125874095
1799,6,11.933566433566398
1799,7,11.26783216783214
1799,8,10.65034965034963
1799,9,10.23986013986013
1799,10,10.191608391608389
1799,11,10.608391608391612
1799,12,11.283216783216796
1800,1,12.176223776223798
1800,2,13.5664335664336
1800,3,15.516083916083957
1800,4,17.783216783216833
1800,5,20.1447552447553
1800,6,22.66013986013992
1800,7,25.35664335664341
1800,8,28.174125874125927
1800,9,31.098601398601446
1800,10,34.08391608391613
1800,11,36.9552447552448
1800,12,39.672727272727315
1801,1,42.3713286713287
1801,2,45.06923076923079
1801,3,47.76503496503498
1801,4,50.4006993006993
1801,5,52.98111888111888
1801,6,55.62447552447551
1801,7,58.175524475524455
1801,8,60.481118881118846
1801,9,62.532167832167794
1801,10,64.41958041958037
1801,11,66.31748251748246
1801,12,68.25454545454538
1802,1,70.03286713286704
1802,2,71.54055944055936
1802,3,72.93776223776214
1802,4,74.22237762237751
1802,5,75.09720279720267
1802,6,75.47692307692293
1802,7,75.41818181818167
1802,8,75.02167832167817
1802,9,74.3601398601397
1802,10,73.38811188811172
1802,11,72.22797202797186
1802,12,71.13356643356627
1803,1,70.29930069930055
1803,2,69.80209790209774
1803,3,69.57762237762222
1803,4,69.50769230769218
1803,5,69.73846153846141
1803,6,70.4265734265733
1803,7,71.46643356643345
1803,8,72.56923076923064
1803,9,73.38111888111877
1803,10,73.76643356643343
1803,11,73.9286713286712
1803,12,74.17272727272714
1804,1,74.5083916083915
1804,2,74.9160839160838
1804,3,75.35804195804185
1804,4,75.94685314685302
1804,5,76.93986013986002
1804,6,78.06293706293694
1804,7,79.08391608391597
1804,8,79.87202797202784
1804,9,80.45104895104882
1804,10,81.06083916083901
1804,11,81.5419580419579
1804,12,81.62307692307675
1805,1,81.2916083916082
1805,2,80.57132867132847
1805,3,79.38531468531448
1805,4,77.65314685314662
1805,5,75.34895104895082
1805,6,72.58951048951026
1805,7,69.6314685314683
1805,8,66.77202797202774
1805,9,64.3146853146851
1805,10,62.21538461538441
1805,11,60.28741258741238
1805,12,58.476223776223584
1806,1,56.82027972027952
1806,2,55.18391608391589
1806,3,53.434265734265544
1806,4,51.441958041957854
1806,5,49.22867132867114
1806,6,46.96643356643338
1806,7,44.64335664335647
1806,8,42.33146853146835
1806,9,40.07902097902081
1806,10,37.782517482517314
1806,11,35.55594405594389
1806,12,33.47762237762222
1807,1,31.390909090908934
1807,2,29.113986013985862
1807,3,26.641258741258603
1807,4,24.053846153846013
1807,5,21.423076923076792
1807,6,18.890909090908973
1807,7,16.639860139860033
1807,8,14.7944055944055
1807,9,13.313986013985932
1807,10,12.243356643356572
1807,11,11.558741258741204
1807,12,11.100699300699262
1808,1,10.806993006992979
1808,2,10.737762237762215
1808,3,10.984615384615372
1808,4,11.549650349650339
1808,5,12.269930069930059
1808,6,12.982517482517466
1808,7,13.658741258741236
1808,8,14.151748251748224
1808,9,14.317482517482484
1808,10,14.11958041958038
1808,11,13.519580419580373
1808,12,12.56783216783211
1809,1,11.40209790209784
1809,2,10.12517482517476
1809,3,8.79370629370623
1809,4,7.500699300699241
1809,5,6.279020979020924
1809,6,5.1062937062936555
1809,7,4.016783216783171
1809,8,3.017482517482476
1809,9,2.1713286713286357
1809,10,1.461538461538432
1809,11,0.926573426573403
1809,12,0.5909090909090734
1810,1,0.3566433566433441
1810,2,0.18321678321677434
1810,3,0.04545454545453894
1810,4,-0.053146853146858054
1810,5,-0.08251748251748572
1810,6,-0.047552447552448966
1810,7,-0.046153846153845456
1810,8,-0.07692307692307473
1810,9,-0.053146853146849665
1810,10,-0.01818181818181301
1810,11,0.07412587412588101
1810,12,0.26923076923077705
1811,1,0.4902097902097997
1811,2,0.7510489510489631
1811,3,1.1545454545454676
1811,4,1.651048951048964
1811,5,2.1895104895105018
1811,6,2.7174825174825283
1811,7,3.2118881118881193
1811,8,3.5937062937063
