Method,RMSE,PICP,MPIW
Monte Carlo Dropout,18.49295998103043,0.45664739884393063,30.600098
Quantile Regression,22.795710308145424,0.0,3.5459602
Bootstrap Ensemble,12.131217986901566,0.1907514450867052,9.808912
